filename,time_len
aaaaauob_s001_t000_preprocessed.pt,304700
aaaaauls_s005_t000_preprocessed.pt,87600
aaaaauls_s002_t000_preprocessed.pt,284400
aaaaauls_s001_t000_preprocessed.pt,68000
aaaaauld_s001_t000_preprocessed.pt,139400
aaaaauns_s001_t000_preprocessed.pt,92200
aaaaaunt_s001_t000_preprocessed.pt,107200
aaaaaums_s001_t000_preprocessed.pt,86200
aaaaaunf_s001_t000_preprocessed.pt,79800
aaaaaunj_s001_t000_preprocessed.pt,76700
aaaaaukv_s001_t000_preprocessed.pt,66200
aaaaauoc_s001_t001_preprocessed.pt,271000
aaaaaumh_s002_t001_preprocessed.pt,94500
aaaaaumh_s001_t000_preprocessed.pt,67800
aaaaaumn_s001_t001_preprocessed.pt,70300
aaaaauoo_s001_t000_preprocessed.pt,106900
aaaaauku_s001_t000_preprocessed.pt,88200
aaaaaumv_s002_t000_preprocessed.pt,254100
